generation,generation_best,generation_mean,best_so_far,elapsed_seconds
126,811,815.1,801,0.2066657489995123
127,811,816.2,801,0.2078650919993379
128,811,816.2,801,0.20934823999959917
129,811,823.95,801,0.21085157400011667
130,811,819.95,801,0.21226228599971364
131,811,815.1,801,0.21402211399981752
132,801,814.6,801,0.21570119399984833
133,801,826.05,801,0.21720452799945633
134,801,817.35,801,0.2184014959993874
135,801,812.45,801,0.21994876699955057
136,801,825.7,801,0.22077643200009334
137,797,807.7,797,0.22229282899934333
138,797,821.05,797,0.22372610299953521
139,797,807.95,797,0.22540399499939667
140,797,820.95,797,0.22689308000008168
141,797,813.15,797,0.2285127859995555
142,797,811.9,797,0.23003986999992776
143,797,826.15,797,0.23216306299946154
144,797,809.0,797,0.23410219800007326
145,797,812.3,797,0.23584777599990048
146,797,807.85,797,0.23757554199983133
147,797,805.9,797,0.23929618399961328
148,797,806.5,797,0.24120800699984102
149,797,801.7,797,0.24330982499941456
150,797,800.65,797,0.24472291199981555
