instance,parameter_set,generation,mean_best_so_far,std_best_so_far
la01,reference,73,666.5666666666667,1.69549775690744
la01,reference,74,666.5666666666667,1.69549775690744
la01,reference,75,666.5666666666667,1.69549775690744
la01,reference,76,666.5666666666667,1.69549775690744
la01,reference,77,666.5666666666667,1.69549775690744
la01,reference,78,666.5666666666667,1.69549775690744
la01,reference,79,666.5666666666667,1.69549775690744
la01,reference,80,666.5333333333333,1.676065452868369
la01,reference,81,666.5333333333333,1.676065452868369
la01,reference,82,666.5333333333333,1.676065452868369
la01,reference,83,666.5333333333333,1.676065452868369
la01,reference,84,666.5333333333333,1.676065452868369
la01,reference,85,666.5333333333333,1.676065452868369
la01,reference,86,666.5,1.6557111192308964
la01,reference,87,666.5,1.6557111192308964
la01,reference,88,666.5,1.6557111192308964
la01,reference,89,666.5,1.6557111192308964
la01,reference,90,666.5,1.6557111192308964
la01,reference,91,666.5,1.6557111192308964
la01,reference,92,666.5,1.6557111192308964
la01,reference,93,666.5,1.6557111192308964
la01,reference,94,666.5,1.6557111192308964
la01,reference,95,666.4666666666667,1.6553639735893346
la01,reference,96,666.4666666666667,1.6553639735893346
la01,reference,97,666.4666666666667,1.6553639735893346
la01,reference,98,666.4666666666667,1.6553639735893346
la01,reference,99,666.4666666666667,1.6553639735893346
la01,reference,100,666.4666666666667,1.6553639735893346
la01,reference,101,666.4666666666667,1.6553639735893346
la01,reference,102,666.4666666666667,1.6553639735893346
la01,reference,103,666.4666666666667,1.6553639735893346
la01,reference,104,666.4666666666667,1.6553639735893346
la01,reference,105,666.4666666666667,1.6553639735893346
la01,reference,106,666.4666666666667,1.6553639735893346
la01,reference,107,666.4666666666667,1.6553639735893346
la01,reference,108,666.4666666666667,1.6553639735893346
la01,reference,109,666.4666666666667,1.6553639735893346
la01,reference,110,666.4333333333333,1.6543220995910688
la01,reference,111,666.4,1.6525841832592434
la01,reference,112,666.4,1.6525841832592434
la01,reference,113,666.4,1.6525841832592434
la01,reference,114,666.4,1.6525841832592434
la01,reference,115,666.4,1.6525841832592434
la01,reference,116,666.4,1.6525841832592434
la01,reference,117,666.4,1.6525841832592434
la01,reference,118,666.4,1.6525841832592434
la01,reference,119,666.4,1.6525841832592434
la01,reference,120,666.4,1.6525841832592434
la01,reference,121,666.4,1.6525841832592434
la01,reference,122,666.4,1.6525841832592434
la01,reference,123,666.4,1.6525841832592434
la01,reference,124,666.4,1.6525841832592434
la01,reference,125,666.4,1.6525841832592434
la01,reference,126,666.4,1.6525841832592434
la01,reference,127,666.4,1.6525841832592434
la01,reference,128,666.4,1.6525841832592434
la01,reference,129,666.4,1.6525841832592434
la01,reference,130,666.4,1.6525841832592434
la01,reference,131,666.4,1.6525841832592434
la01,reference,132,666.4,1.6525841832592434
la01,reference,133,666.4,1.6525841832592434
la01,reference,134,666.4,1.6525841832592434
la01,reference,135,666.4,1.6525841832592434
la01,reference,136,666.4,1.6525841832592434
la01,reference,137,666.4,1.6525841832592434
la01,reference,138,666.4,1.6525841832592434
la01,reference,139,666.4,1.6525841832592434
la01,reference,140,666.4,1.6525841832592434
la01,reference,141,666.4,1.6525841832592434
la01,reference,142,666.4,1.6525841832592434
la01,reference,143,666.4,1.6525841832592434
la01,reference,144,666.4,1.6525841832592434
la01,reference,145,666.4,1.6525841832592434
la01,reference,146,666.4,1.6525841832592434
la01,reference,147,666.4,1.6525841832592434
la01,reference,148,666.4,1.6525841832592434
la01,reference,149,666.4,1.6525841832592434
la01,reference,150,666.4,1.6525841832592434
la01,smaller_population,0,742.8666666666667,19.74795202534689
la01,smaller_population,1,729.4333333333333,19.32246027979791
la01,smaller_population,2,721.2,18.43235536055908
la01,smaller_population,3,714.5666666666667,18.318416083714553
la01,smaller_population,4,710.1,17.299292391348825
la01,smaller_population,5,704.0333333333333,15.606106968512156
la01,smaller_population,6,700.8,13.959053421123981
la01,smaller_population,7,696.6333333333333,14.437698100347632
la01,smaller_population,8,695.1666666666666,13.198963735011962
la01,smaller_population,9,693.7666666666667,13.710512788351142
la01,smaller_population,10,692.3666666666667,13.722579764836452
la01,smaller_population,11,691.5,13.286627967946597
la01,smaller_population,12,691.5,13.286627967946597
la01,smaller_population,13,690.7,12.523495160476678
la01,smaller_population,14,690.3,12.725619014819861
la01,smaller_population,15,690,12.594470598448051
la01,smaller_population,16,689.3,12.684908220074915
la01,smaller_population,17,687.5333333333333,13.164040186165815
la01,smaller_population,18,685.5,11.62265920074024
la01,smaller_population,19,685.2,11.72795069848978
la01,smaller_population,20,684.4,11.854287744568818
la01,smaller_population,21,684.1666666666666,11.665106628045805
la01,smaller_population,22,683.4333333333333,11.993341064318043
la01,smaller_population,23,682.3666666666667,11.816071268822183
la01,smaller_population,24,680.7333333333333,12.643475442471022
la01,smaller_population,25,680.7333333333333,12.643475442471022
la01,smaller_population,26,680.3666666666667,12.344154929339643
la01,smaller_population,27,680.1666666666666,12.264564412562114
la01,smaller_population,28,680.1666666666666,12.264564412562114
la01,smaller_population,29,679.6333333333333,12.702113137620824
la01,smaller_population,30,679.6333333333333,12.702113137620824
la01,smaller_population,31,679.4666666666667,12.851226516893465
la01,smaller_population,32,679.4333333333333,12.800008979881907
la01,smaller_population,33,679.4333333333333,12.800008979881907
la01,smaller_population,34,679.2,12.535191840684314
la01,smaller_population,35,679.2,12.535191840684314
la01,smaller_population,36,679.2,12.535191840684314
la01,smaller_population,37,679.2,12.535191840684314
la01,smaller_population,38,679.1666666666666,12.55905589833373
la01,smaller_population,39,679.1666666666666,12.55905589833373
la01,smaller_population,40,678.8,12.268265762836498
la01,smaller_population,41,678.6666666666666,12.24275530553741
la01,smaller_population,42,678.5666666666667,12.252187231430272
la01,smaller_population,43,678.4333333333333,12.36982795669208
la01,smaller_population,44,678.4333333333333,12.36982795669208
la01,smaller_population,45,678.2666666666667,12.185161505681418
la01,smaller_population,46,678.2666666666667,12.185161505681418
la01,smaller_population,47,678.2,12.203447788679824
la01,smaller_population,48,678.2,12.203447788679824
la01,smaller_population,49,678.2,12.203447788679824
la01,smaller_population,50,678.2,12.203447788679824
la01,smaller_population,51,678.2,12.203447788679824
la01,smaller_population,52,678,12.085899450071615
la01,smaller_population,53,677.6,12.18138772458014
la01,smaller_population,54,677.6,12.18138772458014
la01,smaller_population,55,677.6,12.18138772458014
la01,smaller_population,56,677.6,12.18138772458014
la01,smaller_population,57,677.6,12.18138772458014
la01,smaller_population,58,677.6,12.18138772458014
la01,smaller_population,59,677.6,12.18138772458014
la01,smaller_population,60,677.6,12.18138772458014
la01,smaller_population,61,677.6,12.18138772458014
la01,smaller_population,62,677.6,12.18138772458014
la01,smaller_population,63,677.6,12.18138772458014
la01,smaller_population,64,677.6,12.18138772458014
la01,smaller_population,65,677.6,12.18138772458014
la01,smaller_population,66,677.6,12.18138772458014
la01,smaller_population,67,677.6,12.18138772458014
la01,smaller_population,68,677.6,12.18138772458014
la01,smaller_population,69,677.6,12.18138772458014
la01,smaller_population,70,677.6,12.18138772458014
la01,smaller_population,71,677.6,12.18138772458014
la01,smaller_population,72,677.6,12.18138772458014
la01,smaller_population,73,677.6,12.18138772458014
la01,smaller_population,74,677.6,12.18138772458014
la01,smaller_population,75,677.6,12.18138772458014
la01,smaller_population,76,677.6,12.18138772458014
la01,smaller_population,77,677.6,12.18138772458014
la01,smaller_population,78,677.6,12.18138772458014
la01,smaller_population,79,677.2666666666667,11.761812355460254
la01,smaller_population,80,677.1666666666666,11.768113941797404
la01,smaller_population,81,676.9666666666667,11.556408382912213
la01,smaller_population,82,676.9666666666667,11.556408382912213
la01,smaller_population,83,676.9666666666667,11.556408382912213
la01,smaller_population,84,676.7,11.432410069622241
la01,smaller_population,85,676.7,11.432410069622241
la01,smaller_population,86,676.7,11.432410069622241
la01,smaller_population,87,676.7,11.432410069622241
la01,smaller_population,88,676.7,11.432410069622241
la01,smaller_population,89,676.7,11.432410069622241
la01,smaller_population,90,676.7,11.432410069622241
la01,smaller_population,91,676.7,11.432410069622241
la01,smaller_population,92,676.7,11.432410069622241
la01,smaller_population,93,676.7,11.432410069622241
la01,smaller_population,94,676.7,11.432410069622241
la01,smaller_population,95,676.7,11.432410069622241
la01,smaller_population,96,676.7,11.432410069622241
la01,smaller_population,97,676.7,11.432410069622241
la01,smaller_population,98,676.7,11.432410069622241
la01,smaller_population,99,676.7,11.432410069622241
la01,smaller_population,100,676.7,11.432410069622241
la01,smaller_population,101,676.6666666666666,11.460075625114056
la01,smaller_population,102,676.6666666666666,11.460075625114056
la01,smaller_population,103,676.6666666666666,11.460075625114056
la01,smaller_population,104,676.6666666666666,11.460075625114056
la01,smaller_population,105,676.6666666666666,11.460075625114056
la01,smaller_population,106,676.5,11.32513225925663
la01,smaller_population,107,676.5,11.32513225925663
la01,smaller_population,108,676.5,11.32513225925663
la01,smaller_population,109,676.4333333333333,11.29138619917194
la01,smaller_population,110,676.4333333333333,11.29138619917194
la01,smaller_population,111,676.4333333333333,11.29138619917194
la01,smaller_population,112,676.4333333333333,11.29138619917194
la01,smaller_population,113,676.4333333333333,11.29138619917194
la01,smaller_population,114,676.4333333333333,11.29138619917194
la01,smaller_population,115,676.3,11.17926035428845
la01,smaller_population,116,676.0333333333333,11.23259829103739
la01,smaller_population,117,676.0333333333333,11.23259829103739
la01,smaller_population,118,676,11.218826541377545
la01,smaller_population,119,676,11.218826541377545
la01,smaller_population,120,676,11.218826541377545
la01,smaller_population,121,676,11.218826541377545
la01,smaller_population,122,676,11.218826541377545
la01,smaller_population,123,675.9666666666667,11.208012322882459
la01,smaller_population,124,675.9666666666667,11.208012322882459
la01,smaller_population,125,675.9666666666667,11.208012322882459
