category,instance,parameter_set,run,seed,population_size,generations,crossover_probability,mutation_probability,reference_optimum,best_makespan,final_makespan,gap_percent,elapsed_seconds,time_to_best_seconds,convergence_generation,unique_evaluations,early_improvement_percent,late_improvement_percent
small,la01,lower_mutation,20,19,50,150,0.8,0.05,666,666,666,0.0,0.32219562900081655,0.07715562700013834,33,5961,9.878213802435724,0.0
small,la01,lower_mutation,21,20,50,150,0.8,0.05,666,666,666,0.0,0.3188931140002751,0.042438965000656026,19,5925,6.197183098591549,0.0
small,la01,lower_mutation,22,21,50,150,0.8,0.05,666,666,667,0.0,0.31198659999972733,0.08189017399945442,37,6002,4.034582132564841,0.0
small,la01,lower_mutation,23,22,50,150,0.8,0.05,666,666,666,0.0,0.31794190499931574,0.10645959999965271,49,5977,9.864864864864865,0.0
small,la01,lower_mutation,24,23,50,150,0.8,0.05,666,666,666,0.0,0.3266592740001215,0.04572120700049709,21,6021,10.843373493975903,0.0
small,la01,lower_mutation,25,24,50,150,0.8,0.05,666,666,667,0.0,0.32863884000016697,0.19770247999986168,88,6007,7.361111111111111,0.0
small,la01,lower_mutation,26,25,50,150,0.8,0.05,666,666,666,0.0,0.3258624449999843,0.05047002799983602,21,5965,5.3977272727272725,0.0
small,la01,lower_mutation,27,26,50,150,0.8,0.05,666,666,666,0.0,0.31489577400043345,0.03799055600029533,17,5976,8.390646492434662,0.0
small,la01,lower_mutation,28,27,50,150,0.8,0.05,666,666,675,0.0,0.3299057959993661,0.09436838799956604,41,5952,4.273504273504273,0.0
small,la01,lower_mutation,29,28,50,150,0.8,0.05,666,666,666,0.0,0.32848197400016943,0.011648204999801237,4,5952,9.140518417462483,0.0
small,la01,lower_mutation,30,29,50,150,0.8,0.05,666,667,667,0.15015015015014122,0.34838439600025595,0.06507626100028574,28,5963,10.947930574098798,0.0
small,la02,reference,1,0,50,150,0.8,0.1,655,676,676,3.2061068702289974,0.3336795670002175,0.10479699400002573,45,6118,13.503184713375797,0.0
small,la02,reference,2,1,50,150,0.8,0.1,655,683,683,4.274809160305337,0.323299605000102,0.04936561900012748,20,6008,8.56760374832664,0.0
small,la02,reference,3,2,50,150,0.8,0.1,655,672,677,2.595419847328251,0.32545482700061257,0.18004177200054983,82,6091,11.24031007751938,0.0
small,la02,reference,4,3,50,150,0.8,0.1,655,672,672,2.595419847328251,0.30838450100054615,0.2522323299999698,122,5995,6.964520367936925,1.0309278350515463
small,la02,reference,5,4,50,150,0.8,0.1,655,676,676,3.2061068702289974,0.3114435030001914,0.13125210700036405,63,6042,6.048387096774194,0.0
small,la02,reference,6,5,50,150,0.8,0.1,655,668,671,1.984732824427482,0.3226629099999627,0.08641085799990833,40,5951,13.513513513513514,0.0
small,la02,reference,7,6,50,150,0.8,0.1,655,669,669,2.1374045801526798,0.3285089720002361,0.32169034399976226,147,5996,12.27154046997389,0.29806259314456035
small,la02,reference,8,7,50,150,0.8,0.1,655,663,663,1.2213740458015376,0.31311183999969217,0.13069156300025497,61,6063,11.082138200782268,0.0
small,la02,reference,9,8,50,150,0.8,0.1,655,672,672,2.595419847328251,0.3213993159997699,0.11419715699958033,52,6039,10.817941952506596,0.0
small,la02,reference,10,9,50,150,0.8,0.1,655,681,686,3.969465648854964,0.3233004900002925,0.05718882200017106,25,6015,13.358778625954198,0.0
small,la02,reference,11,10,50,150,0.8,0.1,655,671,671,2.442748091603053,0.3277441149994047,0.08413438800016593,37,6065,10.77127659574468,0.0
small,la02,reference,12,11,50,150,0.8,0.1,655,670,670,2.2900763358778553,0.31441315800020675,0.12548787600007927,60,5926,11.948051948051948,0.0
small,la02,reference,13,12,50,150,0.8,0.1,655,663,665,1.2213740458015376,0.3207935720001842,0.09922748400003911,45,6051,8.469945355191257,0.0
small,la02,reference,14,13,50,150,0.8,0.1,655,679,679,3.6641221374045907,0.3239356969997971,0.22665808799956721,105,6044,6.191117092866756,0.0
small,la02,reference,15,14,50,150,0.8,0.1,655,667,671,1.8320610687022842,0.3259496239998043,0.07686329999978625,34,6016,12.924281984334204,0.0
small,la02,reference,16,15,50,150,0.8,0.1,655,695,696,6.106870229007644,0.31831278200024826,0.056363472000157344,25,5925,10.20671834625323,0.0
small,la02,reference,17,16,50,150,0.8,0.1,655,674,674,2.900763358778624,0.3414013339997837,0.2748051789994861,120,5990,8.651399491094148,0.4431314623338257
small,la02,reference,18,17,50,150,0.8,0.1,655,661,661,0.9160305343511421,0.32594120999965526,0.10143857599996409,45,5977,13.099870298313878,0.0
small,la02,reference,19,18,50,150,0.8,0.1,655,690,697,5.343511450381677,0.3367034769999009,0.2698164060002455,120,6046,12.515802781289507,0.28901734104046245
small,la02,reference,20,19,50,150,0.8,0.1,655,667,682,1.8320610687022842,0.3208218649997434,0.3116757480001979,146,5990,12.262958280657395,0.29895366218236175
small,la02,reference,21,20,50,150,0.8,0.1,655,685,686,4.580152671755733,0.32638523300011,0.2274143450003976,103,6067,8.129032258064516,0.0
small,la02,reference,22,21,50,150,0.8,0.1,655,678,688,3.511450381679393,0.32422988300004363,0.08523627900012798,38,6120,11.458333333333334,0.0
small,la02,reference,23,22,50,150,0.8,0.1,655,671,671,2.442748091603053,0.3205201370001305,0.0670449870003722,29,6090,11.477572559366754,0.0
small,la02,reference,24,23,50,150,0.8,0.1,655,679,687,3.6641221374045907,0.3197113959995477,0.1533132000004116,70,6062,6.530612244897959,0.0
small,la02,reference,25,24,50,150,0.8,0.1,655,671,679,2.442748091603053,0.31988353399992775,0.17300424800032488,80,6028,13.757961783439491,0.0
small,la02,reference,26,25,50,150,0.8,0.1,655,683,683,4.274809160305337,0.3240670909999608,0.09855998200055183,44,6059,10.765239948119326,0.0
small,la02,reference,27,26,50,150,0.8,0.1,655,677,677,3.358778625954195,0.31014125799993053,0.10734509400026582,50,5966,10.852713178294573,0.0
small,la02,reference,28,27,50,150,0.8,0.1,655,670,680,2.2900763358778553,0.31561200200030726,0.11378367300039827,52,6081,10.44973544973545,0.0
small,la02,reference,29,28,50,150,0.8,0.1,655,687,695,4.885496183206106,0.32148774200049957,0.20786081900041609,97,5975,8.235294117647058,0.0
small,la02,reference,30,29,50,150,0.8,0.1,655,665,672,1.526717557251911,0.32876469799975894,0.3129377309996926,143,6046,12.595419847328245,1.0416666666666667
small,la02,smaller_population,1,0,20,150,0.8,0.1,655,705,705,7.6335877862595325,0.1172392549997312,0.0698889790000976,85,2190,10.253164556962025,0.0
small,la02,smaller_population,2,1,20,150,0.8,0.1,655,727,729,10.99236641221375,0.12738760799948068,0.011763350999899558,13,2371,7.388535031847134,0.0
small,la02,smaller_population,3,2,20,150,0.8,0.1,655,677,681,3.358778625954195,0.11968668600002275,0.040519789999962086,47,2157,7.881136950904393,0.0
small,la02,smaller_population,4,3,20,150,0.8,0.1,655,739,744,12.824427480916034,0.10416609399999288,0.009460792999561818,10,1780,9.547123623011016,0.0
small,la02,smaller_population,5,4,20,150,0.8,0.1,655,707,707,7.938931297709928,0.12559092399988003,0.029851311999664176,34,2286,4.973118279569892,0.0
small,la02,smaller_population,6,5,20,150,0.8,0.1,655,691,691,5.496183206106875,0.10855627199998708,0.054761448000135715,75,1940,11.366538952745849,0.0
small,la02,smaller_population,7,6,20,150,0.8,0.1,655,724,724,10.53435114503818,0.12394861499979015,0.04734908800037374,58,2294,10.635696821515893,0.0
small,la02,smaller_population,8,7,20,150,0.8,0.1,655,713,713,8.85496183206107,0.12224097399939637,0.04927164699984132,59,2237,6.282051282051282,0.0
small,la02,smaller_population,9,8,20,150,0.8,0.1,655,721,721,10.076335877862586,0.12023289699936868,0.03250892100004421,36,2170,10.656753407682777,0.0
small,la02,smaller_population,10,9,20,150,0.8,0.1,655,749,749,14.351145038167946,0.1241302620001079,0.009882350999760092,12,2291,6.491885143570537,0.0
small,la02,smaller_population,11,10,20,150,0.8,0.1,655,680,680,3.8167938931297662,0.1251123230003941,0.09516245800023171,114,2246,13.62530413625304,1.7341040462427746
small,la02,smaller_population,12,11,20,150,0.8,0.1,655,685,685,4.580152671755733,0.12412551200031885,0.026820810000572237,29,2242,11.03896103896104,0.0
small,la02,smaller_population,13,12,20,150,0.8,0.1,655,701,701,7.022900763358786,0.12536288399951445,0.11430609800027014,134,2272,9.311224489795919,1.4064697609001406
small,la02,smaller_population,14,13,20,150,0.8,0.1,655,713,725,8.85496183206107,0.12745406700014428,0.03657491200010554,42,2312,9.798994974874372,0.0
small,la02,smaller_population,15,14,20,150,0.8,0.1,655,720,731,9.92366412213741,0.1254626339996321,0.11099535599987576,133,2275,4.569190600522194,1.5047879616963065
small,la02,smaller_population,16,15,20,150,0.8,0.1,655,707,707,7.938931297709928,0.1218906229996719,0.015286650999769336,17,2192,10.844892812105927,0.0
small,la02,smaller_population,17,16,20,150,0.8,0.1,655,720,722,9.92366412213741,0.1179884890007088,0.10466715100028523,129,2084,4.828462515883101,0.2770083102493075
small,la02,smaller_population,18,17,20,150,0.8,0.1,655,686,686,4.732824427480908,0.12686265199954505,0.01819126200007304,20,2281,12.611464968152866,0.0
small,la02,smaller_population,19,18,20,150,0.8,0.1,655,717,717,9.465648854961838,0.1339496330001566,0.03585765200023161,36,2310,9.697732997481108,0.0
small,la02,smaller_population,20,19,20,150,0.8,0.1,655,717,730,9.465648854961838,0.11290719099997659,0.042643009000130405,47,1962,8.09102402022756,0.0
